ID,Username,Password,Age,Role,DoctorName,NurseName,ConditionID
1,patient,dcc31792b8db0d30990535a05e5b613df6e285ad5dd33b91ce502223cda92c93,30,Patient,doctor,nurse,"4"
2,doctor,1e5f6c430dd6460cfdc9b1c16d42c6892da43765b3c89fd282e1d6bbc3205e68,40,Doctor,N/A,N/A,""
3,nurse,e51a46487b4fbaf12aef8711abb2a23b2250753d96c55365b0a266e2e51b7bc2,50,Nurse,N/A,N/A,""
4,pharmacist,0ff9940f6f5f715406a31c4dccc52f01c84abdec6a363d34594dda2a766838c9,60,Pharmacist,N/A,N/A,""
5,patient1,d0daddbfaf25fa2d890203bfbb221d6ebf2addcb41972578b126f83991d14a3f,33,Patient,N/A,nurse,"5"
6,AliceBrown,018bdcae5afb2339197301349086b2453e6cff33fcf3b3cfa8e4d0c0615047da,20,Patient,doctor,nurse,"8,5,9"
7,AlexBrown,939b7e8be37cb09f304725b9ba37fa0844016b87dadbdf6f25382eced694332f,40,Patient,doctor,N/A,""
8,doctorBill,8d6591736923f6b4b9440b90c1a14e89f6107732d855d6c1ad4bf67039e52f50,590,Doctor,N/A,N/A,""
9,NurseNancy,adb208dfb21b6d45b592fbf6652d51969991de04d3f6479c3e720419d1877ab8,33,Nurse,N/A,N/A,""
10,DrDre,57331cdc0b5fe0997cdcc6715e277c8053bcf904c11870b628a413d36b01a64c,40,Doctor,N/A,N/A,""
11,NurseNigel,f32bb461dfd26221ba81c3d6baff9d8462eeb1efb9a8d036f6c9dce37d68e464,50,Nurse,N/A,N/A,""
12,MillySlaw,58037fbf151c4d8737618b41357bd9548b9fbe22cbb93c341e7e0431082d578c,55,Patient,N/A,N/A,"9"
13,LeePower,c809f8bd163bdf1858ba58ad8d604988798f7d253c4ee9d7a996676df416a132,21,Patient,N/A,N/A,"9"
14,LesleyPoll,be73cc4159794d7acf1b15f2e81ae0db259279d1c9abb256fe5c7dd0288a957e,73,Patient,N/A,N/A,"9"
15,TillyGreen,19ecb5949b77abbcf15e6fbc04b758e85bd215d65990a0da5d59aa82c2ac322a,45,Patient,N/A,N/A,"9,5"
16,BrookeKrow,4d902cefdae23a7a07146fe0825d8c32195b17777fde3bb99d0f3590e2f597ea,30,Patient,N/A,N/A,""
